em_sharpness,tr_sharpness,mean_emission_cosine_y,mean_transition_cosine_x,sd_S1,sd_S2,sd_S3,actual_accuracy,pa_original,pa_hypo1,pa_hypo1_1,error_original,error_hypo1,error_hypo1_1,best_formula
0.0,0.0,0.9997,0.9999,0.3308,0.331,0.3382,0.3399,0.3335,0.3336,0.926,0.0063,0.0063,0.5861,Hypo1
0.0,0.3,0.9998,0.7904,0.3344,0.3338,0.3318,0.3365,0.3335,0.4732,0.9415,0.0031,0.1366,0.6049,Original
0.0,0.6,0.9999,0.3835,0.3372,0.3248,0.3379,0.3409,0.3334,0.7443,0.9716,0.0075,0.4034,0.6307,Original
0.0,0.9,0.9999,0.0908,0.284,0.3514,0.3647,0.3609,0.3334,0.9394,0.9934,0.0276,0.5785,0.6324,Original
0.3,0.0,0.773,0.9997,0.3323,0.3305,0.3372,0.5269,0.4847,0.4848,0.9428,0.0422,0.0421,0.4159,Hypo1
0.3,0.3,0.7893,0.7767,0.3399,0.3261,0.334,0.4657,0.4738,0.5913,0.9546,0.0081,0.1255,0.4889,Original
0.3,0.6,0.7905,0.392,0.3413,0.3232,0.3355,0.4945,0.473,0.7934,0.9771,0.0215,0.2989,0.4825,Original
0.3,0.9,0.7984,0.0928,0.3561,0.2856,0.3583,0.6338,0.4677,0.9506,0.9945,0.1661,0.3168,0.3607,Original
0.6,0.0,0.3988,0.9998,0.334,0.332,0.334,0.7189,0.7341,0.7342,0.9705,0.0153,0.0153,0.2516,Original
0.6,0.3,0.3926,0.784,0.3358,0.3312,0.333,0.7209,0.7382,0.7948,0.9772,0.0174,0.0739,0.2563,Original
0.6,0.6,0.3958,0.3922,0.3379,0.339,0.3231,0.7171,0.7361,0.8965,0.9885,0.019,0.1794,0.2714,Original
0.6,0.9,0.3961,0.0968,0.2973,0.3651,0.3375,0.8527,0.736,0.9745,0.9972,0.1168,0.1218,0.1444,Original
0.9,0.0,0.0939,0.9997,0.3294,0.3368,0.3338,0.9167,0.9374,0.9374,0.993,0.0207,0.0207,0.0763,Original
0.9,0.3,0.0928,0.7754,0.332,0.3285,0.3395,0.9135,0.9381,0.952,0.9947,0.0246,0.0385,0.0811,Original
0.9,0.6,0.1002,0.3987,0.3512,0.3294,0.3194,0.9086,0.9332,0.9734,0.997,0.0246,0.0648,0.0884,Original
0.9,0.9,0.0914,0.0998,0.3624,0.3526,0.2849,0.9619,0.9391,0.9939,0.9993,0.0228,0.0321,0.0375,Original
